user_id,perk,group
23557,20% off on First Booking,High Intent Visitors
94883,Loyalty Rewards,Minimal Discount Seekers
101486,Loyalty Rewards,Minimal Discount Seekers
101961,Free Cancellation,Business Breeze
106907,20% off on First Booking,High Intent Visitors
118043,Jet Miles Points,Frequent Travellers
120851,1 Night with Hotel Meal Free,Long Term Lodgers
125845,Jet Miles Points,Frequent Travellers
133058,20% off on First Booking,High Intent Visitors
149058,Jet Miles Points,Frequent Travellers
152583,1 Extra Bag with VIP Lounge,Elite Flyers
153982,Jet Miles Points,Frequent Travellers
160754,Loyalty Rewards,Minimal Discount Seekers
164522,1 Night with Hotel Meal Free,Long Term Lodgers
167852,20% off on First Booking,High Intent Visitors
171470,Loyalty Rewards,Minimal Discount Seekers
174997,Loyalty Rewards,Minimal Discount Seekers
175032,1 Extra Bag with VIP Lounge,Elite Flyers
181157,Free Cancellation,Business Breeze
182191,20% off on First Booking,High Intent Visitors
187212,Jet Miles Points,Frequent Travellers
189676,1 Extra Bag with VIP Lounge,Elite Flyers
190866,Jet Miles Points,Frequent Travellers
195192,1 Extra Bag with VIP Lounge,Elite Flyers
204943,Jet Miles Points,Frequent Travellers
204997,Loyalty Rewards,Minimal Discount Seekers
205044,1 Extra Bag with VIP Lounge,Elite Flyers
206011,Free Cancellation,Business Breeze
216796,20% off on First Booking,High Intent Visitors
217114,20% off on First Booking,High Intent Visitors
217136,Loyalty Rewards,Minimal Discount Seekers
220725,Free Cancellation,Business Breeze
224996,Loyalty Rewards,Minimal Discount Seekers
226367,Jet Miles Points,Frequent Travellers
228195,20% off on First Booking,High Intent Visitors
228872,Loyalty Rewards,Minimal Discount Seekers
229009,Loyalty Rewards,Minimal Discount Seekers
229108,20% off on First Booking,High Intent Visitors
229330,Free Cancellation,Business Breeze
232647,1 Night with Hotel Meal Free,Long Term Lodgers
249521,Loyalty Rewards,Minimal Discount Seekers
252835,Jet Miles Points,Frequent Travellers
258451,20% off on First Booking,High Intent Visitors
264470,Loyalty Rewards,Minimal Discount Seekers
276512,Loyalty Rewards,Minimal Discount Seekers
281952,1 Extra Bag with VIP Lounge,Elite Flyers
283325,Loyalty Rewards,Minimal Discount Seekers
290123,Free Cancellation,Business Breeze
297546,Free Cancellation,Business Breeze
298253,1 Extra Bag with VIP Lounge,Elite Flyers
299476,Loyalty Rewards,Minimal Discount Seekers
306165,20% off on First Booking,High Intent Visitors
306819,Loyalty Rewards,Minimal Discount Seekers
312488,Loyalty Rewards,Minimal Discount Seekers
313724,Free Cancellation,Business Breeze
316527,Free Cancellation,Business Breeze
317688,Jet Miles Points,Frequent Travellers
322867,Loyalty Rewards,Minimal Discount Seekers
324191,Loyalty Rewards,Minimal Discount Seekers
328590,1 Extra Bag with VIP Lounge,Elite Flyers
330764,Loyalty Rewards,Minimal Discount Seekers
330893,Free Cancellation,Business Breeze
331039,20% off on First Booking,High Intent Visitors
334787,Free Cancellation,Business Breeze
337227,20% off on First Booking,High Intent Visitors
338086,Loyalty Rewards,Minimal Discount Seekers
340166,20% off on First Booking,High Intent Visitors
343928,1 Extra Bag with VIP Lounge,Elite Flyers
347778,Free Cancellation,Business Breeze
348817,Free Cancellation,Business Breeze
348863,20% off on First Booking,High Intent Visitors
349132,1 Extra Bag with VIP Lounge,Elite Flyers
350648,20% off on First Booking,High Intent Visitors
353271,1 Extra Bag with VIP Lounge,Elite Flyers
353694,Loyalty Rewards,Minimal Discount Seekers
354050,Jet Miles Points,Frequent Travellers
354260,Loyalty Rewards,Minimal Discount Seekers
354311,Loyalty Rewards,Minimal Discount Seekers
354950,Loyalty Rewards,Minimal Discount Seekers
356046,Loyalty Rewards,Minimal Discount Seekers
357737,Free Cancellation,Business Breeze
359072,Loyalty Rewards,Minimal Discount Seekers
359080,Jet Miles Points,Frequent Travellers
359653,Loyalty Rewards,Minimal Discount Seekers
361459,Loyalty Rewards,Minimal Discount Seekers
361759,Jet Miles Points,Frequent Travellers
363535,Loyalty Rewards,Minimal Discount Seekers
365825,1 Night with Hotel Meal Free,Long Term Lodgers
371201,1 Extra Bag with VIP Lounge,Elite Flyers
372970,Loyalty Rewards,Minimal Discount Seekers
373489,Early Bird Bonuses,Pre Booked Nomands
374331,1 Night with Hotel Meal Free,Long Term Lodgers
374340,Early Bird Bonuses,Pre Booked Nomands
374341,1 Night with Hotel Meal Free,Long Term Lodgers
375160,20% off on First Booking,High Intent Visitors
375729,Free Cancellation,Business Breeze
375751,Jet Miles Points,Frequent Travellers
376159,Loyalty Rewards,Minimal Discount Seekers
377069,20% off on First Booking,High Intent Visitors
377411,Loyalty Rewards,Minimal Discount Seekers
378565,Free Cancellation,Business Breeze
379543,Loyalty Rewards,Minimal Discount Seekers
380434,Jet Miles Points,Frequent Travellers
380436,Loyalty Rewards,Minimal Discount Seekers
380757,Loyalty Rewards,Minimal Discount Seekers
380874,Free Cancellation,Business Breeze
380949,Free Cancellation,Business Breeze
