"gender","age","married","has_children","home_country","user_id","median_page_clicks","num_sessions","median_session_duration_seconds","total_booked_trips","num_cancelled_trips","num_no_booking","num_not_completed_trips","num_completed_trips","num_round_trip_flights","num_one_way_flights","total_flights_booked","total_hotels_booked","median_flight_discount_amount","median_flight_base_price","median_flight_spent","median_hotel_spent","median_hotel_discount_amount","median_checked_bags","median_seats_booked","median_rooms","median_days_until_departure","median_days_until_checkin","median_days_stay_flight","median_night_stay_hotel","num_times_travelled_from_homeairport","num_times_travelled_to_homeairport","num_times_travelled_from_outside_homeairport","num_times_expensive_hotel_booked","num_times_expensive_flight_booked","num_weekend_trip","num_holiday_season_trip","avg_distance_flown"
"F","65","true","false","usa","23557","9","8","69.5","2","0","6","0","2","","","0","2","","","","1835.25","0.25","","","1.5","","12.815833333333334","","10","0","0","0","0","0","0","0",""
"F","52","true","false","usa","94883","5","8","37.5","2","0","6","0","2","2","","4","2","","432.04499999999996","743.63","115","","0.5","1.5","1.5","7.15175925925926","7.310804571759259","1.5","1","2","0","0","0","0","0","0","1451.335403701944"
"F","51","true","true","usa","101486","19.5","8","146","2","0","6","0","2","1","","2","2","","189.91","189.91","1099.5","","0","1","1.5","9.039837962962963","7.904566145833334","4","4","1","0","0","0","0","0","1","995.681599782712"
"F","43","true","false","usa","101961","18","8","133","5","0","3","0","5","5","","10","5","0.1","129.9","129.9","504","","0","1","1","5.762928240740741","5.8671063657407405","5","4","5","0","0","0","0","0","1","1366.5690966548457"
"F","45","true","true","usa","106907","19","8","143.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","52","false","true","usa","118043","18","8","137","5","0","3","0","5","3","","6","4","0.2","727.68","871.9","866.6","0.05","1","2","1","9.587800925925926","9.485882957175926","3","6.5","3","0","0","1","0","0","1","2505.1651664071746"
"F","51","true","true","usa","120851","6","8","44.5","1","0","7","0","1","1","","2","1","","384.68","384.68","2002","","0","1","1","7.5012847222222225","7.701796701388889","12","11","1","0","0","0","0","0","0","2259.7966681958487"
"F","40","true","false","usa","125845","17","9","128","3","0","6","0","3","3","","6","3","0.15","543.54","543.54","183","","1","1","1","8.923946759259259","9.165315509259258","3","1","3","0","0","0","0","0","1","2861.519128720754"
"F","19","false","false","usa","133058","6","8","45","1","0","7","0","1","1","","2","0","","423.51","423.51","","","0","1","","6.493530092592593","","4","","1","0","0","0","0","0","0","2887.178515652686"
"F","51","false","true","usa","149058","20","8","148.5","5","0","3","0","5","5","","10","5","0.05","461.8","461.8","357","","0","1","1","7.016435185185185","7.2529523726851854","8","6","5","0","0","1","0","0","0","1959.872031578899"
"F","37","false","false","usa","152583","18","8","135","1","0","7","0","1","1","","2","1","","367.83","367.83","426","","2","1","1","8.682233796296297","8.879045775462963","5","2","1","0","0","0","0","0","1","2265.716295635522"
"F","45","false","true","canada","153982","13","8","95.5","3","0","5","0","3","3","","6","3","","104.69","104.69","121","","0","1","1","9.181759259259259","9.405566550925926","3","1","3","0","0","1","0","0","1","1343.6251935624966"
"F","46","true","true","usa","160754","6.5","8","50","1","0","7","0","1","1","","2","1","","93.62","93.62","428","","1","1","1","11.749490740740741","11.860226157407407","4","2","1","0","0","0","0","0","1","527.63183389388"
"F","48","true","false","usa","164522","10.5","8","78.5","1","0","7","0","1","1","","2","1","0.05","328.32","311.904","3029","","1","1","1","8.85630787037037","9.03266568287037","15","13","1","0","0","0","0","0","0","1807.646503324766"
"F","18","false","false","usa","167852","7.5","8","55","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","24","false","false","usa","171470","9","8","67.5","2","2","5","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","32","false","false","usa","174997","16","8","122","3","1","5","0","2","2","","4","2","","295.215","295.215","224","","0","1","1","8.045318287037038","8.212769328703704","3.5","2","2","0","0","0","0","0","0","1538.2757842488543"
"F","29","false","false","usa","175032","9","9","65","3","0","6","0","3","2","","4","3","","554.625","1512.2150000000001","1008","0.15","0.5","2","2","5.87931712962963","7.5224773148148145","3.5","4","2","0","0","0","0","0","0","1394.5441345457552"
"F","53","true","false","usa","181157","17.5","8","131","3","0","5","0","3","3","","6","3","0.15","381.8","381.8","219","0.15","1","1","1","6.400381944444445","6.563647337962963","4","2","3","0","0","0","0","0","0","1213.4574843739658"
"F","19","false","true","usa","182191","9.5","8","69.5","1","1","7","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","55","true","true","usa","187212","19","8","141","3","0","5","0","3","3","","6","3","","427.04","427.04","336","","1","1","1","8.517662037037036","8.807985474537038","2","1","3","0","0","1","0","0","0","2465.5571878273126"
"F","36","false","true","usa","189676","10.5","8","78.5","2","0","6","0","2","1","","2","2","","1244.31","3732.93","2500.5","","2","3","2","4.505254629629629","4.370361545138889","6","9","1","0","0","0","0","0","0","2350.536145550067"
"F","37","false","false","usa","190866","23","9","171","5","0","4","0","5","5","","10","5","","390.86","390.86","234","","0","1","1","7.921053240740741","8.085651157407407","2","1","5","0","0","0","0","0","1","2423.7357077809347"
"F","28","false","false","usa","195192","16.5","8","121","1","0","7","0","1","1","","2","1","","394.29","788.58","320","","0","2","2","15.467210648148148","15.611711689814815","3","1","1","0","0","0","0","0","0","1165.5097458688963"
"M","41","false","false","canada","204943","22","8","162","6","1","1","0","5","5","","10","5","0.1","267.58","487.59","992","","1","1","1","8.482303240740741","8.593912615740742","5","4","5","0","0","1","0","0","1","1571.027917851075"
"F","38","true","false","usa","204997","25.5","8","188.5","4","2","3","0","2","2","","4","1","","244.235","244.235","284","","0.5","1","1","7.872187500000001","9.079755671296295","7","4","2","0","0","0","0","0","1","1281.5059324606702"
"F","40","true","true","canada","205044","13","9","96","3","0","6","0","3","3","","6","3","0.05","553.05","525.3975","2096","","0","2","2","5.922280092592593","6.188766030092593","5","4","3","0","0","1","0","0","0","2396.8390061428404"
"F","39","false","true","usa","206011","19","8","141","4","0","4","0","4","4","","8","3","0.05","248.95000000000002","248.95000000000002","124","0.15","0","1","1","6.118940972222222","5.711550057870371","2","1","4","0","0","0","0","0","0","1452.0613504500784"
"F","22","false","false","usa","216796","11","8","81.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"O","20","true","true","usa","217114","5","9","39","0","0","9","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","39","false","true","usa","217136","10","8","76","2","0","6","0","2","1","","2","2","","539.57","539.57","329.5","","0","1","1","7.816111111111111","6.291475347222223","3","2","1","0","0","1","0","0","0","3095.3404436795545"
